Name;Taxonomy
Medium-term Economic Policy Committee;19
Migration Policy Centre (MPC);19
Mines Safety and Health Commission;19
Monetary Committee;19
National Courts;19
National Parliaments;19
Non-attached;19
Non-attached (NI);19
Non-attached (NI) (NI);19
Non-attached Members;19
Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom;19
Non-euro area Member States: Denmark, Sweden, United Kingdom;19
Office for Harmonization in the Internal Market (OHIM);19
Office for Infrastructure and Logistics in Brussels;19
Office for Infrastructure and Logistics in Luxembourg;19
Office for the Administration and Payment of Individual Entitlements;19
Office in Kosovo;19
Party of European Socialists (PES);19
Permanent Mission to the World Trade Organisation;19
Permanent representations;19
Personnel Selection Office (EPSO);19
Political Affairs Committee;19
Political and Security Committee (PSC);19
Political groups of the Committee of the Regions;19
Political Groups' Secretariats;19
Press and Communication Service;19
Press and Information Service;19
Publications department;19
Publications Office;19
Publications Office (OP);19
Rainbow Group in the European Parliament;19
Reactor Centre Netherlands;19
Regulatory Scrutiny Board (RSB);19
Representation in Austria;19
Representation in Belgium;19
Representation in Bulgaria;19
Representation in Croatia;19
Representation in Cyprus;19
Representation in Denmark;19
Representation in Estonia;19
Representation in Finland;19
Representation in France;19
Representation in France - Marseille;19
Representation in France - Paris;19
Representation in Germany;19
Representation in Germany - Berlin;19
Representation in Germany - Bonn;19
Representation in Germany - Munich;19
Representation in Greece;19
Representation in Hungary;19
Representation in Ireland;19
Representation in Italy;19
Representation in Italy - Milan;19
Representation in Italy - Rome;19
Representation in Latvia;19
Representation in Lithuania;19
Representation in Luxembourg;19
Representation in Malta;19
Representation in Poland;19
Representation in Poland - Warsaw;19
Representation in Poland - Wrocaw;19
Representation in Portugal;19
Representation in Romania;19
Representation in Slovakia;19
Representation in Slovenia;19
Representation in Spain;19
Representation in Spain - Barcelona;19
Representation in Spain - Madrid;19
Representation in Sweden;19
Representation in the Czech Republic;19
Representation in the Netherlands;19
Representation in the United Kingdom;19
Representation in the United Kingdom - London;19
Representation in the United Kingdom - Northern Ireland;19
Representation in the United Kingdom - Scotland;19
Representation in the United Kingdom - Wales;19
Representatives of the Governments of the Member States;19
Research Executive Agency (REA);19
Robert Schuman Centre for Advanced Studies (RSCAS);19
Safety and Health Commission for the Mining and other Extractive Industries (SHCMOEI);19
Secretariat-General;19
Secretariat-General of the Committee of the Regions;19
Secretariat-General of the European Economic and Social Committee;19
Secretary-General;19
Section for Agriculture, Rural Development and the Environment;19
Section for Economic and Monetary Union and Economic and Social Cohesion;19
Section for Employment, Social Affairs and Citizenship;19
Section for External Relations;19
Section for the Single Market, Production and Consumption;19
Section for Transport, Energy, Infrastructure and the Information Society;19
Security Office;19
Service for Foreign Policy Instruments (FPI);19
Service of Deputy Secretary General CSDP and crisis response;19
Service of Deputy Secretary General for economic and global issues;19
Service of Deputy Secretary General for political affairs;19
Service of the Customs Union;19
SESAR Joint Undertaking;19
Shift2Rail Joint Undertaking (S2R);19
Single Resolution Board (SRB);19
Socialist Group;19
Socialist Group in the European Parliament;19
Special Committee on Organised Crime, Corruption and Money Laundering;19
Special Committee on Tax Rulings and Other Measures Similar in Nature or Effect;19
Special Committee on the Financial, Economic and Social Crisis;19
Spokesman's Service of the Commission;19
Staff Committee;19
Statistical Office;19
Subcommittee on Fisheries;19
Subcommittee on Human Rights;19
Subcommittee on Monetary Affairs;19
Subcommittee on Security and Defence;19
Subcommittee on Security and Disarmament;19
Task Force for Human Resources, Education, Training and Youth of the European Commission;19
Task Force for the Accession Negotiations;19
Technical Coordination and Defence of Independent Groups and Members;19
Technical Group of Independent Members - mixed group;19
Technical Group of the European Right;19
Temporary committee of inquiry into BSE (bovine spongiform encephalopathy);19
Temporary committee of Inquiry into the Community Transit System;19
Temporary Committee on Climate Change;19
Temporary committee on employment;19
Temporary committee on foot and mouth disease;19
Temporary committee on human genetics and other new technologies in modern medicine;19
Temporary committee on improving safety at sea;19
Temporary committee on policy challenges and budgetary means of the enlarged Union 2007-2013;19
Temporary committee on the Echelon interception system;19
Temporary Committee on the Impact of German unification on the EC;19
The Green Group in the European Parliament;19
The Member States;19
The six Member States: Belgium, Germany, France, Italy, Luxembourg, Netherlands;19
Trans-European Transport Network Executive Agency (TEN-T EA);19
Translation Centre (CdT);19
Translation Service;19
Transport, Telecommunications and Energy Council (TTE);19
Union for Europe of the Nations - European Alliance (EA);19
Union for Europe of the Nations - European Alliance (UEN-EA);19
Union for Europe of the Nations Group;19
Western European Union (WEU);19
Western European Union Institute for Security Studies (WEUISS);19
Western European Union Satellite Centre (SC);19
